name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross revenue,company,runtime,release month,release day,release year,other,release month num,release date,release quarter,release day of week,FILM,title_urled,budget_scraped
The Dressmaker,R,Comedy,2015,"October 29, 2015 (Australia)",7.1,56000.0,Jocelyn Moorhouse,Rosalie Ham,Kate Winslet,Australia,,25003426.0,Screen Australia,119.0,October,29,2015,(Australia),10,2015-10-29,4,Thursday,The Dressmaker (2015),the_dressmaker_2015,$11.9 million[2]
Lost and Love,,Drama,2015,"March 20, 2015 (China)",6.4,620.0,Sanyuan Peng,Sanyuan Peng,Andy Lau,China,,34930177.0,Chongqing Film Group,108.0,March,20,2015,(China),3,2015-03-20,1,Friday,Lost and Love (2015),lost_and_love_2015,US$10-25 million[2]
Far from the Madding Crowd,PG-13,Drama,2015,"May 22, 2015 (United States)",7.1,47000.0,Thomas Vinterberg,Thomas Hardy,Carey Mulligan,United Kingdom,,30229977.0,Fox Searchlight Pictures,119.0,May,22,2015,(United States),5,2015-05-22,2,Friday,Far from the Madding Crowd (2015),far_from_the_madding_crowd_2015,£12 million[3]
Youth,R,Comedy,2015,"December 4, 2015 (United States)",7.3,74000.0,Paolo Sorrentino,Paolo Sorrentino,Michael Caine,Italy,,23459358.0,Indigo Film,124.0,December,4,2015,(United States),12,2015-12-04,4,Friday,Youth (2015),youth_2015,"
€12.8 million[3]
($14.4 million)
"
The Stanford Prison Experiment,R,Biography,2015,"July 17, 2015 (United States)",6.9,40000.0,Kyle Patrick Alvarez,Tim Talbott,Ezra Miller,United States,,663114.0,Coup d'Etat Films,122.0,July,17,2015,(United States),7,2015-07-17,3,Friday,The Stanford Prison Experiment (2015),the_stanford_prison_experiment_2015,
The Wave,R,Action,2015,"August 28, 2015 (Norway)",6.7,35000.0,Roar Uthaug,John Kåre Raake,Kristoffer Joner,Norway,,12975143.0,Fantefilm,105.0,August,28,2015,(Norway),8,2015-08-28,3,Friday,The Wave (2015),the_wave_2015,$6 million[2][3]
Sleeping with Other People,R,Comedy,2015,"August 12, 2015 (Belgium)",6.5,42000.0,Leslye Headland,Leslye Headland,Jason Sudeikis,United States,,3224947.0,Gloria Sanchez Productions,101.0,August,12,2015,(Belgium),8,2015-08-12,3,Wednesday,Sleeping with Other People (2015),sleeping_with_other_people_2015,~$3 million[2]
Mustang,PG-13,Drama,2015,"June 17, 2015 (France)",7.6,37000.0,Deniz Gamze Ergüven,Deniz Gamze Ergüven,Günes Sensoy,Turkey,,5274664.0,CG Cinéma,97.0,June,17,2015,(France),6,2015-06-17,2,Wednesday,Mustang (2015),mustang_2015,$1.3 million[5]
Summertime,Not Rated,Drama,2015,"August 19, 2015 (Belgium)",6.7,4500.0,Catherine Corsini,Catherine Corsini,Cécile de France,France,,3778938.0,Chaz Productions,105.0,August,19,2015,(Belgium),8,2015-08-19,3,Wednesday,Summertime (2015),summertime_2015,$5.4 million [2]
Attack on Titan Part 1,Not Rated,Action,2015,"August 1, 2015 (Japan)",5.0,13000.0,Shinji Higuchi,Hajime Isayama,Haruma Miura,Japan,,30810658.0,Kôdansha,98.0,August,1,2015,(Japan),8,2015-08-01,3,Saturday,Attack on Titan Part 1 (2015),attack_on_titan_part_1_2015,
Bajirao Mastani,Not Rated,Action,2015,"December 18, 2015 (United States)",7.3,32000.0,Sanjay Leela Bhansali,Nagnath S. Inamdar,Ranveer Singh,India,,11350917.0,Bhansali Productions,158.0,December,18,2015,(United States),12,2015-12-18,4,Friday,Bajirao Mastani (2015),bajirao_mastani_2015,₹145 crore[2]
I'll See You in My Dreams,PG-13,Comedy,2015,"May 15, 2015 (United States)",6.7,7100.0,Brett Haley,Brett Haley,Blythe Danner,United States,,7452512.0,Two Flints,92.0,May,15,2015,(United States),5,2015-05-15,2,Friday,I'll See You in My Dreams (2015),i_ll_see_you_in_my_dreams_2015,$1 million [2]
Maggie,PG-13,Drama,2015,"May 8, 2015 (United States)",5.6,43000.0,Henry Hobson,John Scott 3,Arnold Schwarzenegger,United States,,1663165.0,Lionsgate,95.0,May,8,2015,(United States),5,2015-05-08,2,Friday,Maggie (2015),maggie_2015,$1.4 million[4]
Regression,R,Crime,2015,"October 2, 2015 (Spain)",5.7,38000.0,Alejandro Amenábar,Alejandro Amenábar,Ethan Hawke,Spain,,17671101.0,Mod Producciones,106.0,October,2,2015,(Spain),10,2015-10-02,4,Friday,Regression (2015),regression_2015,$15 million[2]
True Story,R,Biography,2015,"April 17, 2015 (United States)",6.3,65000.0,Rupert Goold,Rupert Goold,James Franco,United States,,5261595.0,New Regency Productions,99.0,April,17,2015,(United States),4,2015-04-17,2,Friday,True Story (2015),true_story_2015,
The Transporter Refueled,PG-13,Action,2015,"September 4, 2015 (United States)",5.2,40000.0,Camille Delamarre,Adam Cooper,Ed Skrein,France,,72629670.0,EuropaCorp,96.0,September,4,2015,(United States),9,2015-09-04,3,Friday,The Transporter Refueled (2015),the_transporter_refueled_2015,$22 million[2]
Land of Mine,R,Drama,2015,"December 3, 2015 (Denmark)",7.8,38000.0,Martin Zandvliet,Martin Zandvliet,Roland Møller,Denmark,,3169553.0,Nordisk Film,100.0,December,3,2015,(Denmark),12,2015-12-03,4,Thursday,Land of Mine (2015),land_of_mine_2015,35.5 million DKK[1]
Bajrangi Bhaijaan,Not Rated,Action,2015,"July 17, 2015 (United States)",8.0,79000.0,Kabir Khan,Vijayendra Prasad,Salman Khan,India,,121126188.0,Eros Worldwide,163.0,July,17,2015,(United States),7,2015-07-17,3,Friday,Bajrangi Bhaijaan (2015),bajrangi_bhaijaan_2015,₹90 crore[2]
The Lure,Not Rated,Drama,2015,"December 25, 2015 (Poland)",6.3,7200.0,Agnieszka Smoczynska,Robert Bolesto,Marta Mazurek,Poland,,108846.0,Wytwórnia Filmów Dokumentalnych i Fabularnych (WFDiF),92.0,December,25,2015,(Poland),12,2015-12-25,4,Friday,The Lure (2015),the_lure_2015,
Strange Magic,PG,Animation,2015,"January 23, 2015 (United States)",5.8,10000.0,Gary Rydstrom,David Berenbaum,Evan Rachel Wood,United States,,13603453.0,Buena Vista Negative Cutting,99.0,January,23,2015,(United States),1,2015-01-23,1,Friday,Strange Magic (2015),strange_magic_2015,$70–100 million[3]
Men & Chicken,Not Rated,Comedy,2015,"February 5, 2015 (Denmark)",6.7,11000.0,Anders Thomas Jensen,Anders Thomas Jensen,David Dencik,Denmark,,4765472.0,M&M Productions,104.0,February,5,2015,(Denmark),2,2015-02-05,1,Thursday,Men & Chicken (2015),men_chicken_2015,
Hyena Road,R,Action,2015,"October 9, 2015 (Canada)",6.5,7300.0,Paul Gross,Paul Gross,Rossif Sutherland,Canada,,87768.0,Rhombus Media,120.0,October,9,2015,(Canada),10,2015-10-09,4,Friday,Hyena Road (2015),hyena_road_2015,
The End of the Tour,R,Biography,2015,"November 12, 2015 (Brazil)",7.3,29000.0,James Ponsoldt,Donald Margulies,Jason Segel,United States,,3072991.0,Modern Man Films,106.0,November,12,2015,(Brazil),11,2015-11-12,4,Thursday,The End of the Tour (2015),the_end_of_the_tour_2015,
Cemetery of Splendor,Unrated,Drama,2015,"September 2, 2015 (France)",6.8,4400.0,Apichatpong Weerasethakul,Apichatpong Weerasethakul,Jenjira Pongpas,Thailand,,98932.0,Kick the Machine,122.0,September,2,2015,(France),9,2015-09-02,3,Wednesday,Cemetery of Splendor (2015),cemetery_of_splendor_2015,
Turbo Kid,Not Rated,Action,2015,"August 28, 2015 (United States)",6.7,27000.0,François Simard,Anouk Whissell,Munro Chambers,Canada,,67069.0,EMA Films,93.0,August,28,2015,(United States),8,2015-08-28,3,Friday,Turbo Kid (2015),turbo_kid_2015,
The Overnight,R,Comedy,2015,"June 19, 2015 (United States)",6.1,16000.0,Patrick Brice,Patrick Brice,Adam Scott,United States,,1110522.0,Duplass Brothers Productions,79.0,June,19,2015,(United States),6,2015-06-19,2,Friday,The Overnight (2015),the_overnight_2015,"$200,000[1]"
Son of Saul,R,Drama,2015,"June 11, 2015 (Hungary)",7.5,46000.0,László Nemes,László Nemes,Géza Röhrig,Hungary,,6659121.0,Laokoon Filmgroup,107.0,June,11,2015,(Hungary),6,2015-06-11,2,Thursday,Son of Saul (2015),son_of_saul_2015,€1.5 million[2]
Empire of Lust,,Action,2015,"March 5, 2015 (South Korea)",6.0,465.0,Sang-hoon Ahn,Se-hee Kim,Shin Ha-kyun,South Korea,,3191168.0,Fineworks,113.0,March,5,2015,(South Korea),3,2015-03-05,1,Thursday,Empire of Lust (2015),empire_of_lust_2015,₩5.4 billion
Remember,R,Drama,2015,"December 17, 2015 (United States)",7.5,24000.0,Atom Egoyan,Benjamin August,Christopher Plummer,Canada,,4235959.0,Serendipity Point Films,94.0,December,17,2015,(United States),12,2015-12-17,4,Thursday,Remember (2015),remember_2015,$9.6 million[3]
45 Years,R,Drama,2015,"August 28, 2015 (United Kingdom)",7.1,32000.0,Andrew Haigh,Andrew Haigh,Charlotte Rampling,United Kingdom,,14430249.0,BFI Film Fund,91.0,August,28,2015,(United Kingdom),8,2015-08-28,3,Friday,45 Years (2015),45_years_2015,
Only Yesterday,PG,Animation,1991,"February 26, 2016 (United States)",7.6,29000.0,Isao Takahata,Hotaru Okamoto,Miki Imai,Japan,,545825.0,Nippon Television Network (NTV),118.0,February,26,2016,(United States),2,2016-02-26,1,Friday,Only Yesterday (2016),only_yesterday_2016,
Big Stone Gap,PG-13,Comedy,2014,"May 20, 2016 (Spain)",5.7,2800.0,Adriana Trigiani,Adriana Trigiani,Ashley Judd,United States,,1012804.0,Altar Identity Studios,103.0,May,20,2016,(Spain),5,2016-05-20,2,Friday,Big Stone Gap (2016),big_stone_gap_2016,
High-Rise,R,Drama,2015,"April 28, 2016 (United States)",5.6,40000.0,Ben Wheatley,Amy Jump,Tom Hiddleston,United Kingdom,,4289074.0,HanWay Films,119.0,April,28,2016,(United States),4,2016-04-28,2,Thursday,High-Rise (2016),high_rise_2016,£6.1 million (approximately US$8 million)[2]
The Invitation,Not Rated,Drama,2015,"April 8, 2016 (United States)",6.6,100000.0,Karyn Kusama,Phil Hay,Logan Marshall-Green,United States,,354835.0,Gamechanger Films,100.0,April,8,2016,(United States),4,2016-04-08,2,Friday,The Invitation (2016),the_invitation_2016,$1 million[1]
Knight of Cups,R,Drama,2015,"March 4, 2016 (United States)",5.7,26000.0,Terrence Malick,Terrence Malick,Christian Bale,United States,,1026288.0,Dogwood Films,118.0,March,4,2016,(United States),3,2016-03-04,1,Friday,Knight of Cups (2016),knight_of_cups_2016,
A Bigger Splash,R,Drama,2015,"May 13, 2016 (United States)",6.4,28000.0,Luca Guadagnino,David Kajganich,Tilda Swinton,Italy,,7545758.0,Frenesy Film Company,125.0,May,13,2016,(United States),5,2016-05-13,2,Friday,A Bigger Splash (2016),a_bigger_splash_2016,
A Man Called Ove,PG-13,Comedy,2015,"September 30, 2016 (United States)",7.7,50000.0,Hannes Holm,Hannes Holm,Rolf Lassgård,Sweden,,30692889.0,Tre Vänner Produktion AB,116.0,September,30,2016,(United States),9,2016-09-30,3,Friday,A Man Called Ove (2016),a_man_called_ove_2016,
Tumbledown,R,Comedy,2015,"February 5, 2016 (United States)",6.2,6800.0,Sean Mewshaw,Sean Mewshaw,Rebecca Hall,United States,,282083.0,BRON Studios,105.0,February,5,2016,(United States),2,2016-02-05,1,Friday,Tumbledown (2016),tumbledown_2016,
Into the Forest,R,Drama,2015,"July 29, 2016 (United States)",5.8,20000.0,Patricia Rozema,Patricia Rozema,Elliot Page,Canada,,92166.0,Rhombus Media,101.0,July,29,2016,(United States),7,2016-07-29,3,Friday,Into the Forest (2016),into_the_forest_2016,$10 million[2]
Tale of Tales,R,Drama,2015,"April 22, 2016 (United States)",6.4,27000.0,Matteo Garrone,Edoardo Albinati,Salma Hayek,Italy,,5497104.0,Archimede,134.0,April,22,2016,(United States),4,2016-04-22,2,Friday,Tale of Tales (2016),tale_of_tales_2016,$14.5 million[2]
The Ones Below,R,Drama,2015,"May 27, 2016 (United States)",6.1,9700.0,David Farr,David Farr,Clémence Poésy,United Kingdom,,121827.0,Cuba Pictures,87.0,May,27,2016,(United States),5,2016-05-27,2,Friday,The Ones Below (2016),the_ones_below_2016,£2.3 million (approximately US$3.7 million)[1]
Southbound,R,Horror,2015,"February 9, 2016 (United States)",5.9,17000.0,Directors,Matt Bettinelli-Olpin,Chad Villella,United States,,35275.0,Soapbox Films,89.0,February,9,2016,(United States),2,2016-02-09,1,Tuesday,Southbound (2016),southbound_2016,
The Handmaiden,Not Rated,Drama,2016,"June 1, 2016 (South Korea)",8.1,123000.0,Park Chan-Wook,Sarah Waters,Kim Min-hee,South Korea,,37767206.0,CJ Entertainment,145.0,June,1,2016,(South Korea),6,2016-06-01,2,Wednesday,The Handmaiden (2016),the_handmaiden_2016,₩10 billion(approx. $8.8 million)[2]
Train to Busan,Not Rated,Action,2016,"July 20, 2016 (South Korea)",7.6,181000.0,Sang-ho Yeon,Joo-Suk Park,Gong Yoo,South Korea,,92764199.0,Next Entertainment World,118.0,July,20,2016,(South Korea),7,2016-07-20,3,Wednesday,Train to Busan (2016),train_to_busan_2016,$8.5 million[2]
American Honey,R,Adventure,2016,"October 14, 2016 (United Kingdom)",7.0,40000.0,Andrea Arnold,Andrea Arnold,Sasha Lane,United Kingdom,,2290649.0,Maven Pictures,163.0,October,14,2016,(United Kingdom),10,2016-10-14,4,Friday,American Honey (2016),american_honey_2016,$3.5 million[3]
Hunt for the Wilderpeople,PG-13,Adventure,2016,"July 1, 2016 (United States)",7.9,118000.0,Taika Waititi,Taika Waititi,Sam Neill,New Zealand,,23915910.0,Piki Films,101.0,July,1,2016,(United States),7,2016-07-01,3,Friday,Hunt for the Wilderpeople (2016),hunt_for_the_wilderpeople_2016,US$2.5 million[3]
Dangal,Not Rated,Action,2016,"December 21, 2016 (United States)",8.4,167000.0,Nitesh Tiwari,Piyush Gupta,Aamir Khan,India,,303723636.0,Aamir Khan Productions,161.0,December,21,2016,(United States),12,2016-12-21,4,Wednesday,Dangal (2016),dangal_2016,₹700 million[3]
The Choice,PG-13,Drama,2016,"February 5, 2016 (United States)",6.6,37000.0,Ross Katz,Bryan Sipe,Benjamin Walker,United States,,23079932.0,Nicholas Sparks Productions,111.0,February,5,2016,(United States),2,2016-02-05,1,Friday,The Choice (2016),the_choice_2016,$10 million[2]
Genius,PG-13,Biography,2016,"June 10, 2016 (United States)",6.6,19000.0,Michael Grandage,John Logan,Colin Firth,United Kingdom,,7435006.0,Desert Wolf Productions,104.0,June,10,2016,(United States),6,2016-06-10,2,Friday,Genius (2016),genius_2016,$17 million[1]
Goldstone,R,Crime,2016,"July 7, 2016 (Australia)",6.5,5100.0,Ivan Sen,Ivan Sen,Aaron Pedersen,Australia,,650352.0,Bunya Productions,110.0,July,7,2016,(Australia),7,2016-07-07,3,Thursday,Goldstone (2016),goldstone_2016,$2 million[3]
White Girl,Not Rated,Crime,2016,"December 1, 2016 (United States)",5.7,10000.0,Elizabeth Wood,Elizabeth Wood,Morgan Saylor,United States,,200242.0,Bank Street Films,88.0,December,1,2016,(United States),12,2016-12-01,4,Thursday,White Girl (2016),white_girl_2016,"$700,000[1]"
Sing Street,PG-13,Comedy,2016,"March 17, 2016 (Ireland)",7.9,88000.0,John Carney,Simon Carmody,Ferdia Walsh-Peelo,Ireland,,13624522.0,Cosmo Films,106.0,March,17,2016,(Ireland),3,2016-03-17,1,Thursday,Sing Street (2016),sing_street_2016,$4 million[4]
Shin Godzilla,Not Rated,Action,2016,"July 29, 2016 (Japan)",6.8,25000.0,Hideaki Anno,Hideaki Anno,Hiroki Hasegawa,Japan,,78053145.0,Cine Bazar,120.0,July,29,2016,(Japan),7,2016-07-29,3,Friday,Shin Godzilla (2016),shin_godzilla_2016,US$15 million[3]
Goat,R,Drama,2016,"September 23, 2016 (United States)",5.7,7500.0,Andrew Neel,David Gordon Green,Ben Schnetzer,United States,,23020.0,Killer Films,96.0,September,23,2016,(United States),9,2016-09-23,3,Friday,Goat (2016),goat_2016,
Anthropoid,R,Action,2016,"September 9, 2016 (United Kingdom)",7.2,45000.0,Sean Ellis,Sean Ellis,Jamie Dornan,Czech Republic,,5079219.0,LD Entertainment,120.0,September,9,2016,(United Kingdom),9,2016-09-09,3,Friday,Anthropoid (2016),anthropoid_2016,$9 million[4]
The Salesman,PG-13,Drama,2016,"August 31, 2016 (Iran)",7.8,54000.0,Asghar Farhadi,Asghar Farhadi,Shahab Hosseini,Iran,,6953604.0,ARTE,124.0,August,31,2016,(Iran),8,2016-08-31,3,Wednesday,The Salesman (2016),the_salesman_2016,
In a Valley of Violence,R,Action,2016,"October 21, 2016 (United States)",6.0,17000.0,Ti West,Ti West,Ethan Hawke,United States,,61797.0,Blumhouse Productions,104.0,October,21,2016,(United States),10,2016-10-21,4,Friday,In a Valley of Violence (2016),in_a_valley_of_violence_2016,
Toni Erdmann,R,Comedy,2016,"December 25, 2016 (United States)",7.4,46000.0,Maren Ade,Maren Ade,Sandra Hüller,Germany,,11784207.0,Komplizen Film,162.0,December,25,2016,(United States),12,2016-12-25,4,Sunday,Toni Erdmann (2016),toni_erdmann_2016,"
€3 million
(USD$3.2 million)
"
Our Kind of Traitor,R,Crime,2016,"May 13, 2016 (United Kingdom)",6.2,21000.0,Susanna White,John le Carré,Carlos Acosta,United Kingdom,,10711027.0,StudioCanal,108.0,May,13,2016,(United Kingdom),5,2016-05-13,2,Friday,Our Kind of Traitor (2016),our_kind_of_traitor_2016,
Sanam Teri Kasam,Not Rated,Drama,2016,"February 5, 2016 (India)",7.5,11000.0,Radhika Rao,Radhika Rao,Harshvardhan Rane,India,,1386707.0,Jhoom Jhoom Productions,154.0,February,5,2016,(India),2,2016-02-05,1,Friday,Sanam Teri Kasam (2016),sanam_teri_kasam_2016,
Pet,R,Horror,2016,"December 2, 2016 (United States)",5.7,16000.0,Carles Torrens,Jeremy Slater,Dominic Monaghan,Spain,,22003.0,Cine365 Films,94.0,December,2,2016,(United States),12,2016-12-02,4,Friday,Pet (2016),pet_2016,
Kingsglaive: Final Fantasy XV,PG-13,Animation,2016,"July 9, 2016 (Japan)",6.8,21000.0,Takeshi Nozue,Takashi Hasegawa,Aaron Paul,Japan,,5725482.0,Square Visual Works Co. Ltd.,110.0,July,9,2016,(Japan),7,2016-07-09,3,Saturday,Kingsglaive: Final Fantasy XV (2016),kingsglaive_final_fantasy_xv_2016,
Ae Dil Hai Mushkil,Not Rated,Drama,2016,"October 28, 2016 (United States)",5.8,22000.0,Karan Johar,Karan Johar,Ranbir Kapoor,India,,31668920.0,ADHM Films,158.0,October,28,2016,(United States),10,2016-10-28,4,Friday,Ae Dil Hai Mushkil (2016),ae_dil_hai_mushkil_2016,
Pink,Not Rated,Crime,2016,"September 16, 2016 (United States)",8.1,41000.0,Aniruddha Roy Chowdhury,Shoojit Sircar,Taapsee Pannu,India,,180180.0,NH Studioz,136.0,September,16,2016,(United States),9,2016-09-16,3,Friday,Pink (2016),pink_2016,₹30 crore[2]
Under the Shadow,PG-13,Drama,2016,"October 7, 2016 (United States)",6.9,25000.0,Babak Anvari,Babak Anvari,Narges Rashidi,United Kingdom,,133324.0,Wigwam Films,84.0,October,7,2016,(United States),10,2016-10-07,4,Friday,Under the Shadow (2016),under_the_shadow_2016,
Julieta,R,Drama,2016,"December 21, 2016 (United States)",7.1,30000.0,Pedro Almodóvar,Pedro Almodóvar,Emma Suárez,Spain,,22546233.0,Echo Lake Entertainment,99.0,December,21,2016,(United States),12,2016-12-21,4,Wednesday,Julieta (2016),julieta_2016,
American Pastoral,R,Crime,2016,"October 21, 2016 (United States)",6.1,16000.0,Ewan McGregor,Philip Roth,Ewan McGregor,Hong Kong,,2063436.0,Lionsgate,108.0,October,21,2016,(United States),10,2016-10-21,4,Friday,American Pastoral (2016),american_pastoral_2016,$10 million[2]
Complete Unknown,R,Drama,2016,"August 26, 2016 (United States)",5.4,5800.0,Joshua Marston,Joshua Marston,Erin Darke,United States,,217473.0,Parts and Labor,91.0,August,26,2016,(United States),8,2016-08-26,3,Friday,Complete Unknown (2016),complete_unknown_2016,
The Innocents,PG-13,Drama,2016,"February 10, 2016 (France)",7.3,10000.0,Anne Fontaine,Sabrina B. Karine,Lou de Laâge,France,,7400324.0,Mandarin Films,115.0,February,10,2016,(France),2,2016-02-10,1,Wednesday,The Innocents (2016),the_innocents_2016,$6.4 million
The Blackcoat's Daughter,R,Horror,2015,"February 16, 2017 (United States)",5.9,20000.0,Oz Perkins,Oz Perkins,Emma Roberts,Canada,,38348.0,Paris Film,93.0,February,16,2017,(United States),2,2017-02-16,1,Thursday,The Blackcoat's Daughter (2017),the_blackcoat_s_daughter_2017,
The Daughter,,Drama,2015,"January 27, 2017 (United States)",6.6,4900.0,Simon Stone,Simon Stone,Geoffrey Rush,Australia,,1505434.0,Screen NSW,96.0,January,27,2017,(United States),1,2017-01-27,1,Friday,The Daughter (2017),the_daughter_2017,$42 million[2]
Lady Macbeth,R,Drama,2016,"July 14, 2017 (United States)",6.8,21000.0,William Oldroyd,Nikolai Leskov,Florence Pugh,United Kingdom,,5401447.0,Sixty-Six Pictures,89.0,July,14,2017,(United States),7,2017-07-14,3,Friday,Lady Macbeth (2017),lady_macbeth_2017,"£500,000($650,000)[2]"
Your Name.,TV-PG,Animation,2016,"April 7, 2017 (United States)",8.4,215000.0,Makoto Shinkai,Makoto Shinkai,Ryûnosuke Kamiki,Japan,,358180115.0,Amuse,106.0,April,7,2017,(United States),4,2017-04-07,2,Friday,Your Name. (2017),your_name_2017,
Raw,R,Drama,2016,"March 15, 2017 (Belgium)",7.0,64000.0,Julia Ducournau,Julia Ducournau,Garance Marillier,France,,3096815.0,Petit Film,99.0,March,15,2017,(Belgium),3,2017-03-15,1,Wednesday,Raw (2017),raw_2017,"
€3.48 million[4]
($3.8 million)
"
The Love Witch,Unrated,Comedy,2016,"March 10, 2017 (United Kingdom)",6.2,14000.0,Anna Biller,Anna Biller,Samantha Robinson,United States,,246218.0,Anna Biller Productions,120.0,March,10,2017,(United Kingdom),3,2017-03-10,1,Friday,The Love Witch (2017),the_love_witch_2017,
